0.0,1.00000,1.00000,0.00000,0.00000
0.01,0.92849,0.24086,0.07151,0.75914
0.02,0.89356,0.19023,0.10644,0.80977
0.03,0.85643,0.15883,0.14357,0.84117
0.04,0.81846,0.13166,0.18154,0.86834
0.05,0.78936,0.10943,0.21064,0.89057
0.06,0.74305,0.09179,0.25695,0.90821
0.07,0.71066,0.07732,0.28934,0.92268
0.08,0.67725,0.06559,0.32275,0.93441
0.09,0.64897,0.05535,0.35103,0.94465
0.1,0.62438,0.04796,0.37562,0.95204
0.11,0.59817,0.04244,0.40183,0.95756
0.12,0.58471,0.03874,0.41529,0.96126
0.13,0.56890,0.03537,0.43110,0.96463
0.14,0.56084,0.03279,0.43916,0.96721
0.15,0.54197,0.03006,0.45803,0.96994
0.16,0.53784,0.02808,0.46216,0.97192
0.17,0.52837,0.02561,0.47163,0.97439
0.18,0.51112,0.02347,0.48888,0.97653
0.19,0.50035,0.02192,0.49965,0.97808
0.2,0.48970,0.02063,0.51030,0.97937
0.21,0.47779,0.01972,0.52221,0.98028
0.22,0.46170,0.01832,0.53830,0.98168
0.23,0.44835,0.01736,0.55165,0.98264
0.24,0.44020,0.01623,0.55980,0.98377
0.25,0.43364,0.01516,0.56636,0.98484
0.26,0.42527,0.01425,0.57473,0.98575
0.27,0.41189,0.01329,0.58811,0.98671
0.28,0.40124,0.01227,0.59876,0.98773
0.29,0.38928,0.01157,0.61072,0.98843
0.3,0.38249,0.01093,0.61751,0.98907
0.31,0.37693,0.01034,0.62307,0.98966
0.32,0.36191,0.00986,0.63809,0.99014
0.33,0.35795,0.00932,0.64205,0.99068
0.34,0.34602,0.00831,0.65398,0.99169
0.35,0.33425,0.00793,0.66575,0.99207
0.36,0.32352,0.00745,0.67648,0.99255
0.37,0.31968,0.00713,0.68032,0.99287
0.38,0.31461,0.00664,0.68539,0.99336
0.39,0.31208,0.00643,0.68792,0.99357
0.4,0.30811,0.00600,0.69189,0.99400
0.41,0.29720,0.00547,0.70280,0.99453
0.42,0.28901,0.00520,0.71099,0.99480
0.43,0.28769,0.00488,0.71231,0.99512
0.44,0.27954,0.00439,0.72046,0.99561
0.45,0.27163,0.00402,0.72837,0.99598
0.46,0.26757,0.00359,0.73243,0.99641
0.47,0.26096,0.00322,0.73904,0.99678
0.48,0.25558,0.00295,0.74442,0.99705
0.49,0.25183,0.00284,0.74817,0.99716
0.5,0.24261,0.00273,0.75739,0.99727
0.51,0.23319,0.00263,0.76681,0.99737
0.52,0.23054,0.00257,0.76946,0.99743
0.53,0.22263,0.00236,0.77737,0.99764
0.54,0.21577,0.00225,0.78423,0.99775
0.55,0.21062,0.00214,0.78938,0.99786
0.56,0.20403,0.00204,0.79597,0.99796
0.57,0.19746,0.00188,0.80254,0.99812
0.58,0.19220,0.00166,0.80780,0.99834
0.59,0.18814,0.00166,0.81186,0.99834
0.6,0.18158,0.00145,0.81842,0.99855
0.61,0.17199,0.00129,0.82801,0.99871
0.62,0.17059,0.00123,0.82941,0.99877
0.63,0.16269,0.00118,0.83731,0.99882
0.64,0.16016,0.00118,0.83984,0.99882
0.65,0.15741,0.00113,0.84259,0.99887
0.66,0.15355,0.00102,0.84645,0.99898
0.67,0.14840,0.00096,0.85160,0.99904
0.68,0.14295,0.00075,0.85705,0.99925
0.69,0.14042,0.00075,0.85958,0.99925
0.7,0.13369,0.00075,0.86631,0.99925
0.71,0.13247,0.00070,0.86753,0.99930
0.72,0.12851,0.00070,0.87149,0.99930
0.73,0.12578,0.00070,0.87422,0.99930
0.74,0.12438,0.00070,0.87562,0.99930
0.75,0.11253,0.00059,0.88747,0.99941
0.76,0.10847,0.00054,0.89153,0.99946
0.77,0.10305,0.00054,0.89695,0.99946
0.78,0.09777,0.00054,0.90223,0.99946
0.79,0.09494,0.00048,0.90506,0.99952
0.8,0.09068,0.00038,0.90932,0.99962
0.81,0.08662,0.00032,0.91338,0.99968
0.82,0.08267,0.00032,0.91733,0.99968
0.83,0.07860,0.00032,0.92140,0.99968
0.84,0.07098,0.00032,0.92902,0.99968
0.85,0.06417,0.00032,0.93583,0.99968
0.86,0.06285,0.00032,0.93715,0.99968
0.87,0.05231,0.00027,0.94769,0.99973
0.88,0.04572,0.00027,0.95428,0.99973
0.89,0.03894,0.00027,0.96106,0.99973
0.9,0.03639,0.00027,0.96361,0.99973
0.91,0.03105,0.00016,0.96895,0.99984
0.92,0.02455,0.00005,0.97545,0.99995
0.93,0.02316,0.00000,0.97684,1.00000
0.94,0.01904,0.00000,0.98096,1.00000
0.95,0.01633,0.00000,0.98367,1.00000
0.96,0.00960,0.00000,0.99040,1.00000
0.97,0.00282,0.00000,0.99718,1.00000
0.98,0.00000,0.00000,1.00000,1.00000
0.99,0.00000,0.00000,1.00000,1.00000
1.0,0.00000,0.00000,1.00000,1.00000
