0.000,0.64398,0,0.35602,1.00000,1.00000,0.00000,0.35602,2819,0,5099,0,0,0,0,0,0
0.025,0.64360,0,0.35616,1.00000,0.99941,0.00000,0.35640,2819,0,5096,0,0,0,3,0,0
0.050,0.64221,0,0.35655,0.99894,0.99667,0.00106,0.35779,2816,0,5082,0,3,0,17,0,0
0.075,0.64019,0,0.35723,0.99858,0.99333,0.00142,0.35981,2815,0,5065,0,4,0,34,0,0
0.100,0.63135,0,0.36001,0.99432,0.97725,0.00568,0.36865,2803,0,4983,0,16,0,116,0,0
0.125,0.60647,0,0.36855,0.98617,0.93410,0.01383,0.39353,2780,0,4763,0,39,0,336,0,0
0.150,0.57843,0,0.37803,0.96807,0.88056,0.03193,0.42157,2729,0,4490,0,90,0,609,0,0
0.175,0.53599,0,0.39449,0.94502,0.80192,0.05498,0.46401,2664,0,4089,0,155,0,1010,0,0
0.200,0.49634,0,0.41147,0.91593,0.72426,0.08407,0.50366,2582,0,3693,0,237,0,1406,0,0
0.225,0.45655,0,0.43107,0.88294,0.64424,0.11706,0.54345,2489,0,3285,0,330,0,1814,0,0
0.250,0.42220,0,0.45044,0.84463,0.56972,0.15537,0.57780,2381,0,2905,0,438,0,2194,0,0
0.275,0.39505,0,0.46786,0.79780,0.50167,0.20220,0.60495,2249,0,2558,0,570,0,2541,0,0
0.300,0.36865,0,0.48855,0.75701,0.43813,0.24299,0.63135,2134,0,2234,0,685,0,2865,0,0
0.325,0.35059,0,0.50542,0.71125,0.38478,0.28875,0.64941,2005,0,1962,0,814,0,3137,0,0
0.350,0.33089,0,0.52810,0.66336,0.32771,0.33664,0.66911,1870,0,1671,0,949,0,3428,0,0
0.375,0.31675,0,0.54951,0.61227,0.27751,0.38773,0.68325,1726,0,1415,0,1093,0,3684,0,0
0.400,0.30942,0,0.56615,0.56013,0.23730,0.43987,0.69058,1579,0,1210,0,1240,0,3889,0,0
0.425,0.30576,0,0.58031,0.51011,0.20396,0.48989,0.69424,1438,0,1040,0,1381,0,4059,0,0
0.450,0.30147,0,0.59881,0.46435,0.17199,0.53565,0.69853,1309,0,877,0,1510,0,4222,0,0
0.475,0.29806,0,0.61972,0.42143,0.14297,0.57857,0.70194,1188,0,729,0,1631,0,4370,0,0
0.500,0.29856,0,0.63983,0.36928,0.11492,0.63072,0.70144,1041,0,586,0,1778,0,4513,0,0
0.525,0.29957,0,0.65840,0.32955,0.09453,0.67045,0.70043,929,0,482,0,1890,0,4617,0,0
0.550,0.30639,0,0.66723,0.27811,0.07668,0.72189,0.69361,784,0,391,0,2035,0,4708,0,0
0.575,0.31106,0,0.68053,0.23803,0.06178,0.76197,0.68894,671,0,315,0,2148,0,4784,0,0
0.600,0.31675,0,0.68758,0.20220,0.05079,0.79780,0.68325,570,0,259,0,2249,0,4840,0,0
0.625,0.32079,0,0.70130,0.17240,0.04060,0.82760,0.67921,486,0,207,0,2333,0,4892,0,0
0.650,0.32584,0,0.70711,0.14473,0.03314,0.85527,0.67416,408,0,169,0,2411,0,4930,0,0
0.675,0.33102,0,0.70539,0.12061,0.02785,0.87939,0.66898,340,0,142,0,2479,0,4957,0,0
0.700,0.33544,0,0.71618,0.09578,0.02098,0.90422,0.66456,270,0,107,0,2549,0,4992,0,0
0.725,0.33897,0,0.72575,0.07698,0.01608,0.92302,0.66103,217,0,82,0,2602,0,5017,0,0
0.750,0.34238,0,0.71600,0.06350,0.01392,0.93650,0.65762,179,0,71,0,2640,0,5028,0,0
0.775,0.34339,0,0.74510,0.05392,0.01020,0.94608,0.65661,152,0,52,0,2667,0,5047,0,0
0.800,0.34680,0,0.74172,0.03973,0.00765,0.96027,0.65320,112,0,39,0,2707,0,5060,0,0
0.825,0.34794,0,0.78070,0.03157,0.00490,0.96843,0.65206,89,0,25,0,2730,0,5074,0,0
0.850,0.34996,0,0.80000,0.02270,0.00314,0.97730,0.65004,64,0,16,0,2755,0,5083,0,0
0.875,0.35274,0,0.74074,0.01419,0.00275,0.98581,0.64726,40,0,14,0,2779,0,5085,0,0
0.900,0.35501,0,0.66667,0.00568,0.00157,0.99432,0.64499,16,0,8,0,2803,0,5091,0,0
0.925,0.35514,0,0.81818,0.00319,0.00039,0.99681,0.64486,9,0,2,0,2810,0,5097,0,0
0.950,0.35602,0,0.00000,0.00000,0.00000,1.00000,0.64398,0,0,0,0,2819,0,5099,0,0
0.975,0.35602,0,0.00000,0.00000,0.00000,1.00000,0.64398,0,0,0,0,2819,0,5099,0,0
1.000,0.35602,0,0.00000,0.00000,0.00000,1.00000,0.64398,0,0,0,0,2819,0,5099,0,0
