-1,-1,0.000,0.00000,0.00000,0.35602,1.00000,1.00000,0.00000,0.35602,1890,929,2781,2318,0,0,0,0,1
-1,-1,0.025,0.00000,0.00059,0.35616,1.00000,0.99941,0.00000,0.35640,1890,929,2778,2318,0,0,3,0,1
-1,-1,0.050,0.00106,0.00031,0.35655,0.99894,0.99667,0.00106,0.35779,1887,929,2771,2311,3,0,10,7,1
-1,-1,0.075,0.00038,0.00212,0.35751,0.99823,0.99176,0.00177,0.36070,1887,927,2763,2294,3,2,18,24,1
-1,-1,0.100,0.00473,0.00964,0.36052,0.99397,0.97470,0.00603,0.37017,1883,919,2733,2237,7,10,48,81,1
-1,-1,0.125,0.01776,0.03341,0.36941,0.98439,0.92901,0.01561,0.39619,1877,898,2661,2076,13,31,120,242,1
-1,-1,0.150,0.03841,0.05211,0.37917,0.96736,0.87566,0.03264,0.42448,1864,863,2556,1909,26,66,225,409,1
-1,-1,0.175,0.05841,0.07728,0.39338,0.94431,0.80506,0.05569,0.46173,1839,823,2418,1687,51,106,363,631,1
-1,-1,0.200,0.08209,0.09884,0.41040,0.91309,0.72524,0.08691,0.50202,1802,772,2246,1452,88,157,535,866,1
-1,-1,0.225,0.10003,0.11220,0.42860,0.88152,0.64974,0.11848,0.53940,1759,726,2067,1246,131,203,714,1072,1
-1,-1,0.250,0.11085,0.12459,0.44747,0.84604,0.57756,0.15396,0.57325,1702,683,1895,1050,188,246,886,1268,1
-1,-1,0.275,0.13248,0.12744,0.46708,0.80525,0.50794,0.19475,0.60356,1645,625,1708,882,245,304,1073,1436,1
-1,-1,0.300,0.14986,0.12869,0.48288,0.76020,0.45009,0.23980,0.62478,1576,567,1550,745,314,362,1231,1573,1
-1,-1,0.325,0.16728,0.13096,0.50326,0.71195,0.38851,0.28805,0.64726,1501,506,1384,597,389,423,1397,1721,1
-1,-1,0.350,0.16490,0.12162,0.52488,0.66974,0.33516,0.33026,0.66658,1419,469,1214,495,471,460,1567,1823,1
-1,-1,0.375,0.17660,0.11385,0.54514,0.61901,0.28555,0.38099,0.68047,1334,411,1058,398,556,518,1723,1920,1
-1,-1,0.400,0.18584,0.10086,0.56474,0.56474,0.24064,0.43526,0.69007,1240,352,903,324,650,577,1878,1994,1
-1,-1,0.425,0.17713,0.09227,0.57600,0.51082,0.20788,0.48918,0.69197,1130,310,792,268,760,619,1989,2050,1
-1,-1,0.450,0.16973,0.07936,0.59629,0.46790,0.17513,0.53210,0.69778,1042,277,671,222,848,652,2110,2096,1
-1,-1,0.475,0.16807,0.07249,0.61523,0.42426,0.14670,0.57574,0.70056,958,238,576,172,932,691,2205,2146,1
-1,-1,0.500,0.15428,0.06249,0.63511,0.37602,0.11944,0.62398,0.70093,854,206,477,132,1036,723,2304,2186,1
-1,-1,0.525,0.15261,0.05586,0.65965,0.33345,0.09512,0.66655,0.70144,772,168,394,91,1118,761,2387,2227,1
-1,-1,0.550,0.13059,0.04629,0.67116,0.28237,0.07649,0.71763,0.69525,655,141,320,70,1235,788,2461,2248,1
-1,-1,0.575,0.11528,0.03813,0.67864,0.24122,0.06315,0.75878,0.68919,563,117,264,58,1327,812,2517,2260,1
-1,-1,0.600,0.10172,0.03268,0.68833,0.20291,0.05079,0.79709,0.68351,478,94,217,42,1412,835,2564,2276,1
-1,-1,0.625,0.09200,0.02612,0.70328,0.17488,0.04079,0.82512,0.67997,416,77,174,34,1474,852,2607,2284,1
-1,-1,0.650,0.07869,0.02236,0.70962,0.14651,0.03314,0.85349,0.67479,350,63,144,25,1540,866,2637,2293,1
-1,-1,0.675,0.07251,0.01949,0.71222,0.12203,0.02726,0.87797,0.66987,298,46,121,18,1592,883,2660,2300,1
-1,-1,0.700,0.06133,0.01342,0.73569,0.09578,0.01902,0.90422,0.66582,238,32,84,13,1652,897,2697,2305,1
-1,-1,0.725,0.04722,0.00949,0.73356,0.07520,0.01510,0.92480,0.66103,186,26,64,13,1704,903,2717,2305,1
-1,-1,0.750,0.04268,0.00863,0.73279,0.06421,0.01294,0.93579,0.65850,161,20,56,10,1729,909,2725,2308,1
-1,-1,0.775,0.03851,0.00616,0.75127,0.05250,0.00961,0.94750,0.65648,135,13,41,8,1755,916,2740,2310,1
-1,-1,0.800,0.03255,0.00361,0.75839,0.04009,0.00706,0.95991,0.65370,106,7,28,8,1784,922,2753,2310,1
-1,-1,0.825,0.02368,0.00212,0.78571,0.03122,0.00471,0.96878,0.65206,81,7,18,6,1809,922,2763,2312,1
-1,-1,0.850,0.01805,0.00204,0.77922,0.02128,0.00333,0.97872,0.64941,57,3,14,3,1833,926,2767,2315,1
-1,-1,0.875,0.00991,0.00106,0.73913,0.01206,0.00235,0.98794,0.64675,32,2,9,3,1858,927,2772,2315,1
-1,-1,0.900,0.00424,0.00071,0.65217,0.00532,0.00157,0.99468,0.64486,14,1,6,2,1876,928,2775,2316,1
-1,-1,0.925,0.00284,0.00004,0.80000,0.00284,0.00039,0.99716,0.64473,8,0,1,1,1882,929,2780,2317,1
-1,-1,0.950,0.00035,0.00000,1.00000,0.00035,0.00000,0.99965,0.64410,1,0,0,0,1889,929,2781,2318,1
-1,-1,0.975,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.64398,0,0,0,0,1890,929,2781,2318,1
-1,-1,1.000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.64398,0,0,0,0,1890,929,2781,2318,1
-1,-0.9,0.000,0.00000,0.00000,0.35602,1.00000,1.00000,0.00000,0.35602,1890,929,2781,2318,0,0,0,0,1
